front,back
"Jeżeli chcemy mieć pewność, że spośród dwóch kandydatów wybieramy rzeczywiście lepszego, to oceniając różnicę w poziomie wykonania testu przez każdego z kandydatów powinniśmy wziąć pod uwagę:
a) błąd standardowy dla wybranego przedziału ufności
b) błąd standardowy różnicy między rzetelnościami testów
c) błąd standardowy dla wyniku testowego
d) błąd standardowy różnicy między dwoma wynikami",d
"Wielkość współczynnika korelacji pomiędzy wynikami nowego testu a wynikami testu już istniejącego może być wykorzystana jako dowód trafności:
a) treściowej
b) teoretycznej
c) fasadowej
d) logicznej",b
"Jeżeli interesuje nas odpowiedź na pytanie, czy wszystkie pozycje testu mierzą tę samą cechę psychologiczną, to możemy zastosować współczynnik rzetelności typu:
a) połówkowania
b) test–retest
c) homogeniczności
d) dla form równoległych",c
"Gdy test psychologiczny jest wykorzystywany do rekrutacji w konkretnej organizacji i wykorzystywane w tym celu normy zostały opracowane na próbie kandydatów tej organizacji, to jest to przykład zastosowania norm:
a) organizacyjnych
b) narodowych
c) lokalnych
d) instytucjonalnych",c
"Jeżeli nie ma żadnych innych wskazań, to średni współczynnik trudności testu, który ma w maksymalnym stopniu różnicować badaną populację, powinien:
a) wynosić 50%
b) mieścić się w zakresie od 0% do 100%
c) być równy wyznaczonemu punktowi selekcji
d) zostać wyznaczony na podstawie właściwości rozkładu normalnego",a
"Jeżeli wynik osoby A w teście inteligencji równy jest 16 punktom, a półprzedział ufności (PU) dla alfa = 0,15 w tym teście wynosi 2 punkty, dla alfa = 0,10 wynosi 3 punkty, a dla alfa = 0,05 wynosi 4 punkty, to wynik prawdziwy osoby A, z 90% pewnością, znajduje się w przedziale:
a) (14; 18)
b) (16; 16)
c) (12; 20)
d) (13; 19)",d
"Które z poniższych stwierdzeń nie jest prawdziwe:
a) norma psychometryczna jest to standard ilościowy, wyznaczony przez średnią lub inną miarę tendencji centralnej
b) norma psychometryczna jest to typowy wynik w teście
c) norma psychometryczna opisuje właściwy poziom wykonania testu
d) norma psychometryczna pozwala na ocenę, jak osoba badana wypada na tle innych osób",c
"Wynik wyrażony w jednostkach IQ Wechslera, to:
a) wynik standardowy
b) wynik surowy jaki osoba badana otrzymała w teście inteligencji
c) inna forma prezentowania centyli
d) wynik odzwierciedlający standardowy błąd pomiaru",a
"W poniższym zdaniu brakuje jednego wyrazu:
„Analiza różnic międzygrupowych, zastosowana do badania trafności, służy do określania trafności (………)”
a) diagnostycznej
b) treściowej
c) teoretycznej
d) prognostycznej",c
"W poniższym zdaniu brakuje jednego wyrazu:
„Współczynnik rzetelności jest operacyjnie wyrażany za pomocą (………)”
a) średniej arytmetycznej
b) odchylenia standardowego
c) wariancji
d) współczynnika korelacji",d
"W statystyce wyróżnia się dwa rodzaje błędów: błąd systematyczny oraz błąd losowy. Który z tych błędów ma podstawowe znaczenie w teorii rzetelności?
a) błąd systematyczny
b) błąd losowy
c) oba rodzaje błędu mają znaczenie
d) żaden z tych błędów",b
"Metoda tzw. „instrukcji szczerości” stosowana przy kontrolowaniu zmiennej aprobaty społecznej:
a) jest metodą nieskuteczną
b) powinna być stosowana już na etapie konstrukcji kwestionariusza
c) powinna być stosowana na etapie stosowania kwestionariusza
d) zakłada stosowanie wyłącznie pozycji neutralnych",c
"Tzw. styl odpowiadania w kwestionariuszu jest to:
a) skłonność do udzielania odpowiedzi niezależnie od treści pozycji testowych
b) skłonność do udzielania odpowiedzi zależnie od treści pozycji testowych
c) skłonność do udzielania odpowiedzi diagnostycznych
d) skłonność do udzielania odpowiedzi niediagnostycznych",a
"Parametry skali staninowej to:
a) M = 5; SD = 2
b) M = 5,5; SD = 2
c) M = 5; SD = 2,5
d) M = 5,5; SD = 2,5",a
"Przeprowadzono badanie testem psychologicznym. Osoba obliczająca wyniki zauważyła, że osoba badana zaznaczyła prawie wszystkie odpowiedzi po lewej stronie skali odpowiedzi. Z jakim problemem mamy tu do czynienia?
a) niską mocą dyskryminacyjną pozycji
b) złym zdefiniowaniem konstruktu
c) aprobatą społeczną
d) stylami odpowiadania",d
